num,uec256_name,food_id,food_name,energy_kcal,water_g,protein_g,fat_g,fiber_g,carbohydrate_g,sodium_mg,potassium_mg,calcium_mg,magnesium_mg,phosphorus_mg,iron_mg,zinc_mg,copeer_mg,manganess_mg,iodine_ug,selenium_ug,chromium_ug,molybdeum_ug,vitamin_d_ug,vitamin_k_ug,vitamin_b1_mg,vitamin_b2_mg,niacin_mg,vitamin_b6_mg,vitamin_b12_ug,folate_ug,biotin_ug,vitamin_c_mg,,,
34,sauteed spinach,06359,ほうれんそう　葉　通年平均　油いため,91,82.0,3.8,8.1,4.6,4.4,13,530,88,52,54,1.2,0.8,0.15,0.20,-,-,-,-,(0),510,0.08,0.16,0.5,0.09,(0),140,-,21,,,
35,vegetable tempura,19011,＜そう菜＞　野菜天ぷら,183,64.9,2.6,11.1,2.2,18.2,150,130,27,19,49,0.4,0.2,0.06,0.24,1,2,1,5,0,17,0.04,0.04,0.5,0.08,0,29,0,9,,,
36,miso soup,19012,＜みそ類＞　調合みそ　わかめ入り,191,37.9,10.9,4.7,7.6,32.1,4200,280,97,65,180,2.9,1.4,0.21,0.35,2100,16,4,29,0,15,0.1,0.16,2.1,0.15,0.3,31,0,2,,,
37,potage,18005,洋風料理　スープ類　コーンクリームスープ　コーンクリームスープ,62,(86.0),(1.7),(2.6),(0.6),(8.5),(340),(88),(36),(7),(42),(0.2),(0.2),(0.02),(0.03),(5),(1),0,(2),(0.2),(2),(0.02),(0.06),(0.3),(0.02),(0.1),(6),(0.9),(1),,,
38,sausage,11307,＜畜肉類＞　ぶた　［ソーセージ類］　ウインナーソーセージ　焼き,345,50.2,13.0,31.8,0,2.4,810,200,6,13,220,0.6,1.5,0.06,0.03,3,18,2,2,0.4,9,0.38,0.13,4.0,0.15,0.6,1,4.6,32,,,
39,oden,19013,＜和食料理＞　おでん,58,86.8,5.9,2.1,1,4,370,170,66,23,87,0.9,0.5,0.05,0.1,70,11,2,13,0.4,6,0.04,0.09,1.2,0.05,0.8,19,0,7,,,
40,omelet,19014,＜卵類＞　オムレツ,197,68.3,11.6,14.7,0.1,4.4,330,170,50,14,190,1.6,1.1,0.06,0.02,11,25,3,11,2.1,41,0.08,0.32,0.4,0.12,1.1,50,22,2,,,
41,ganmodoki,04041,だいず　［豆腐・油揚げ類］　がんもどき,223,63.5,15.3,17.8,1.4,1.6,190,80,270,98,200,3.6,1.6,0.22,1.30,32,4,8,60,(0),43,0.03,0.04,0.2,0.08,(0),21,7.6,Tr,,,
42,jiaozi,18002,中国料理　点心類　ぎょうざ,209,(57.8),(6.9),(11.3),(1.5),(22.3),(460),(170),(22),(16),(62),(0.6),(0.6),(0.07),(0.20),(1),(5),(1),(4),(0.1),(28),(0.14),(0.07),(1.4),(0.11),(0.1),(22),(1.8),(4),,,
43,stew,18011,洋風料理　シチュー類　ビーフシチュー,153,(74.9),(4.1),(12.6),(0.7),(7.1),(380),(150),(11),(9),(45),(0.5),(0.8),(0.04),(0.06),(1),(3),(1),(1),(0.1),(17),(0.03),(0.06),(1.2),(0.10),(0.4),(13),(1.3),(4),,,
44,teriyaki grilled fish,10242,＜魚類＞　ぶり　成魚　焼き,260,51.8,26.2,20.4,(0),0.3,40,440,6,28,170,2.3,0.9,0.10,0.01,-,-,-,-,5.4,(0),0.24,0.39,10.0,0.38,3.8,6,-,2,,,
45,fried fish,10409,＜魚類＞　＜たら類＞　すけとうだら　フライ,195,61.9,19.2,11.9,-,5.7,140,340,34,27,190,0.4,0.7,0.05,0.08,-,-,-,-,0.4,18,0.05,0.13,1.5,0.08,2.5,19,-,Tr,,,
46,grilled salmon,10145,＜魚類＞　＜さけ・ます類＞　たいせいようさけ　養殖　皮つき　焼き,270,54.6,24.5,19.7,(0),0.3,55,460,17,34,310,0.3,0.5,0.05,0.01,8,26,0,Tr,11.0,8,0.24,0.13,8.2,0.43,5.6,28,8.8,3,,,
47,salmon meuniere,10436,＜魚類＞　＜さけ・ます類＞　たいせいようさけ　養殖　皮つき　ソテー,266,54.6,25.2,20.4,(0),0.1,55,450,10,33,300,0.3,0.3,0.06,0.01,8,23,0,Tr,6.9,9,0.31,0.13,8.8,0.51,7.9,23,7.6,2,,,
